City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Qaqortoq,20,GL,1584471133,40,60.72,-46.03,17.6,1.12
Kamakwie,46,SL,1584471133,20,9.5,-12.23,99.23,3.71
Shirokiy,100,RU,1584471134,95,49.76,129.52,21.29,6.55
Yashkul',82,RU,1584471134,43,46.17,45.34,41.63,3.71
Saskylakh,0,RU,1584471134,83,71.92,114.08,-27.31,5.35
Salinópolis,32,BR,1584471125,77,-0.61,-47.36,81.95,12.75
Vila Franca do Campo,20,PT,1584471135,72,37.72,-25.43,62.6,5.82
Kholodnyy,97,RU,1584471135,89,62.72,147.95,-8.05,2.98
Ternate,2,ID,1584471135,90,0.8,127.4,73.85,3.27
Mossamedes,85,AO,1584471135,79,-15.2,12.15,74.21,6.38
Avera,90,US,1584471136,93,33.19,-82.53,73.4,5.82
Swift Current,90,CA,1584470897,73,50.28,-107.8,23.0,16.11
Northam,75,GB,1584471136,93,51.03,-4.22,54.0,11.41
Bluff,7,NZ,1584471136,95,-46.6,168.33,37.0,1.99
Saint George,22,US,1584470991,45,37.1,-113.58,57.2,14.99
Bengkulu,100,ID,1584471137,91,-3.8,102.27,74.75,4.07
Verkhnyaya Inta,48,RU,1584471137,87,65.98,60.31,16.97,15.55
Hong Kong,40,HK,1584471137,73,22.29,114.16,72.0,8.05
Pontianak,59,ID,1584470936,97,-0.03,109.33,73.85,1.88
Newport,90,GB,1584471064,87,51.59,-3.0,54.0,13.87
Gobabis,74,NA,1584471138,82,-22.45,18.97,68.0,6.93
Río Cuarto,90,AR,1584470864,100,-33.13,-64.35,69.8,14.99
Hobart,100,AU,1584471100,45,-42.88,147.33,69.01,12.75
Hyères,0,FR,1584471138,76,43.12,6.12,57.99,5.82
Buin,0,CL,1584471139,36,-33.73,-70.75,78.8,6.93
Kachīry,67,KZ,1584471139,80,53.07,76.1,25.79,15.57
Kodinsk,0,RU,1584471139,90,58.69,99.18,4.01,3.27
Chui,33,UY,1584471139,51,-33.7,-53.46,77.09,12.5
Quatre Cocos,40,MU,1584471140,88,-20.21,57.76,77.0,3.36
Bonavista,7,CA,1584471140,76,48.65,-53.11,27.23,15.52
Salisbury,75,GB,1584471140,87,51.07,-1.8,52.0,12.75
Aklavik,40,CA,1584471140,78,68.22,-135.01,15.8,2.24
Tura,0,IN,1584471141,38,25.52,90.22,68.63,2.28
East London,40,ZA,1584471141,88,-33.02,27.91,68.0,4.7
Druskininkai,72,LT,1584471141,94,54.02,23.97,37.99,3.24
Puerto Escondido,5,MX,1584471141,89,15.85,-97.07,86.0,11.41
Taltal,1,CL,1584470884,69,-25.4,-70.48,66.47,7.61
Abu Dhabi,0,AE,1584470896,69,24.47,54.37,77.0,8.05
Iracoubo,71,GF,1584471142,74,5.48,-53.2,80.69,11.18
Cabo Rojo,40,PR,1584471142,59,18.09,-67.15,86.0,16.11
Walvis Bay,6,NA,1584471142,92,-22.96,14.51,63.0,4.0
Magistral'nyy,100,RU,1584471143,85,56.17,107.45,18.95,4.41
Fukuechō,40,JP,1584471143,81,32.69,128.84,51.8,4.7
Hamilton,90,US,1584471107,65,39.18,-84.53,51.01,6.93
Pemba,75,MZ,1584471143,78,-12.97,40.52,82.4,4.7
Yulara,0,AU,1584471143,26,-25.24,130.99,80.6,8.05
Khatanga,84,RU,1584471144,80,71.97,102.5,-15.07,7.31
Westport,90,US,1584471144,81,41.14,-73.36,53.01,6.93
Cefalù,86,IT,1584471144,82,38.04,14.02,59.0,5.99
Magole,75,TZ,1584471144,100,-6.37,37.37,71.6,3.02
Owando,79,CG,1584471145,74,-0.48,15.9,78.89,1.63
Malumfashi,100,NG,1584471145,7,11.79,7.62,83.39,8.21
Anloga,20,GH,1584471145,79,5.79,0.9,84.2,13.87
Reconquista,4,AR,1584471146,28,-29.15,-59.65,99.77,5.77
Naryan-Mar,72,RU,1584471146,85,67.67,53.09,19.85,18.25
Tsaghkahovit,90,AM,1584471146,92,40.63,44.22,46.4,10.29
Noumea,66,NC,1584470881,83,-22.28,166.46,71.6,2.24
Celestún,0,MX,1584471146,80,20.87,-90.4,76.37,15.17
Georgiyevskoye,33,RU,1584471147,81,58.73,45.02,27.23,3.78
Ponta do Sol,40,PT,1584471147,72,32.67,-17.1,59.0,10.29
Natchez,75,US,1584471147,73,31.56,-91.4,78.8,5.82
Gudāri,19,IN,1584471147,61,19.35,83.78,75.47,2.28
Yar-Sale,100,RU,1584471148,94,66.83,70.83,21.29,12.39
Hammerfest,100,NO,1584471148,79,70.66,23.68,30.2,12.75
Kapoeta,62,SS,1584471148,54,4.77,33.59,84.47,7.58
Kajaani,90,FI,1584471148,97,64.23,27.73,32.0,11.41
Al Bardīyah,0,LY,1584471149,55,31.76,25.09,58.01,10.87
Harper,65,LR,1584471149,79,4.38,-7.72,82.49,6.22
Hithadhoo,60,MV,1584471149,75,-0.6,73.08,84.83,12.12
Porto-Novo,40,BJ,1584470885,83,6.5,2.6,84.2,13.87
Maniitsoq,100,GL,1584471149,69,65.42,-52.9,13.55,21.65
Mananara,0,MG,1584471150,80,-16.17,49.77,80.51,6.24
Bara,100,NG,1584471150,8,10.37,10.73,85.73,6.62
Yendi,100,GH,1584471150,22,9.44,-0.01,98.15,3.69
Ribas do Rio Pardo,38,BR,1584471150,61,-20.44,-53.76,85.37,5.28
Lompoc,75,US,1584471151,71,34.64,-120.46,55.0,6.93
Esil,27,KZ,1584471151,93,51.96,66.4,19.31,11.43
Mocuba,56,MZ,1584471151,97,-16.84,36.99,71.33,3.91
Ostrovnoy,100,RU,1584471152,83,68.05,39.51,24.17,18.84
Iqaluit,90,CA,1584470995,78,63.75,-68.51,15.8,17.22
Pochutla,40,MX,1584471152,52,15.74,-96.47,89.6,11.41
Sungai Raya,7,ID,1584471152,91,0.7,108.9,75.47,4.76
Dormidontovka,97,RU,1584471153,90,47.77,134.91,20.57,4.41
Norman Wells,90,CA,1584471153,92,65.28,-126.83,19.4,3.4
Nizhniy Tsasuchey,46,RU,1584471153,63,50.52,115.13,25.97,15.23
Sioux Falls,75,US,1584471137,59,43.55,-96.7,41.0,6.93
Tinglev,100,DK,1584471154,87,54.93,9.25,46.4,16.11
São Félix do Xingu,84,BR,1584471154,76,-6.64,-51.99,83.57,2.51
Hasaki,20,JP,1584471154,86,35.73,140.83,39.2,3.36
Yinchuan,0,CN,1584471154,2,38.47,106.27,46.0,1.01
Kétou,80,BJ,1584471155,46,7.36,2.6,92.93,12.17
Abu Kamal,73,SY,1584471155,81,34.45,40.92,61.79,8.39
Presidencia Roque Sáenz Peña,17,AR,1584471155,35,-26.79,-60.44,96.89,5.75
Gairo,75,IT,1584471155,93,39.85,9.5,59.0,9.17
Bestöbe,30,KZ,1584471155,80,52.5,73.1,25.61,17.83
Gejiu,14,CN,1584471156,88,23.31,103.16,56.75,2.84
Mahabalipuram,40,IN,1584471156,83,12.63,80.17,82.99,4.7
Kharsia,0,IN,1584471156,30,21.97,83.12,79.43,6.24
Chiang Khong,3,TH,1584471157,69,20.26,100.4,75.0,4.7
Hīt,17,IQ,1584471157,37,33.64,42.83,73.31,15.03
San Isidro,98,PE,1584471157,61,-12.12,-77.05,80.6,11.41
Conde,40,BR,1584471157,66,-7.26,-34.91,87.8,9.17
Monrovia,75,LR,1584471157,79,6.3,-10.8,86.0,9.17
Clyde River,75,CA,1584471158,75,70.47,-68.59,-16.6,18.34
Pindushi,100,RU,1584471158,78,62.92,34.58,27.77,12.12
Kruisfontein,33,ZA,1584471158,57,-34.0,24.73,68.63,7.9
Sitka,20,US,1584471158,80,57.05,-135.33,35.6,4.7
Kikwit,91,CD,1584471158,81,-5.04,18.82,74.03,2.51
Trairi,100,BR,1584471159,84,-3.28,-39.27,81.59,4.9
Xining,91,CN,1584471159,45,36.62,101.77,32.81,2.21
Mithi,0,PK,1584471159,18,24.73,69.8,78.35,7.99
Ascension,90,US,1584471159,69,30.22,-90.9,82.4,5.1
Kandalaksha,100,RU,1584471160,94,67.16,32.41,26.15,7.27
Serenje,71,ZM,1584471160,96,-13.23,30.24,64.49,6.82
Prado,9,BR,1584471160,73,-17.34,-39.22,81.77,8.84
La Libertad,15,EC,1584471160,66,-2.23,-80.9,86.0,8.05
Riyadh,43,SA,1584470913,29,24.69,46.72,78.8,9.17
Butaritari,48,KI,1584471161,76,3.07,172.79,83.21,13.91
Okhotsk,0,RU,1584471161,79,59.38,143.3,-2.29,5.12
Cockburn Town,40,TC,1584471161,72,21.46,-71.14,75.65,15.17
Nhulunbuy,0,AU,1584471161,83,-12.23,136.77,78.8,2.24
Amahai,64,ID,1584471161,73,-3.33,128.92,82.67,6.64
Grindavik,75,IS,1584471162,86,63.84,-22.43,32.0,19.46
Bom Jesus,57,BR,1584471162,63,-9.07,-44.36,86.09,2.55
Port Blair,100,IN,1584470911,71,11.67,92.75,83.03,3.87
Torrevieja,90,ES,1584471162,87,37.98,-0.68,62.6,20.8
Bereket,78,TM,1584471163,80,39.24,55.52,49.37,3.65
Oxford,75,GB,1584471060,87,51.75,-1.26,54.0,13.87
Bourail,16,NC,1584471163,93,-21.57,165.48,68.99,1.81
Cabedelo,40,BR,1584471163,66,-6.98,-34.83,87.8,9.17
Assiut,0,EG,1584471163,36,27.18,31.18,62.15,19.51
San Quintín,60,MX,1584471164,66,30.48,-115.95,59.27,6.96
Tongzi,81,CN,1584471164,54,28.78,105.09,61.43,4.59
Uspenskaya,72,RU,1584471164,52,45.76,41.07,36.23,8.59
Plettenberg Bay,17,ZA,1584471164,70,-34.05,23.37,69.17,5.08
Dingle,8,PH,1584471165,93,11.0,122.67,72.95,9.31
Naze,3,JP,1584471165,55,28.37,129.48,64.4,6.93
Port Augusta,45,AU,1584471165,39,-32.5,137.77,64.99,5.82
Tete,40,MZ,1584471165,65,-16.16,33.59,82.4,5.82
Prince Rupert,1,CA,1584470962,80,54.32,-130.32,39.2,2.24
Sohag,0,EG,1584471166,44,26.56,31.69,63.23,16.67
Koutsouras,0,GR,1584471166,53,35.03,25.95,54.0,11.01
Berlevåg,75,NO,1584471166,73,70.86,29.09,24.8,4.7
Shimoda,0,JP,1584471135,60,34.67,138.95,55.0,1.01
Lázaro Cárdenas,0,MX,1584471167,49,17.96,-102.2,86.27,9.57
Morondava,0,MG,1584471167,86,-20.28,44.28,74.75,3.29
Kaitangata,9,NZ,1584471167,75,-46.28,169.85,46.99,7.78
New Norfolk,100,AU,1584471168,45,-42.78,147.06,69.01,12.75
Yuanping,0,CN,1584471168,21,38.72,112.76,48.29,9.24
Morro Bay,40,US,1584471168,66,35.37,-120.85,55.0,6.73
Dezhou,0,CN,1584471168,21,37.45,116.29,58.91,14.83
La Macarena,45,CO,1584471168,38,2.18,-73.78,94.55,7.36
Srednekolymsk,100,RU,1584471169,96,67.45,153.68,-7.87,8.93
Heihe,20,CN,1584471169,74,50.24,127.49,30.2,6.71
Margate,75,GB,1584471169,81,51.38,1.39,52.0,14.99
Doha,0,QA,1584471076,88,25.29,51.53,73.99,10.29
Cayenne,37,GF,1584471169,58,4.93,-52.33,87.8,11.41
Lebu,0,CL,1584471170,52,-37.62,-73.65,70.07,9.31
Binga,35,ZW,1584471116,79,-17.62,27.34,75.65,5.7
Port Moresby,40,PG,1584470958,100,-9.44,147.18,77.0,3.36
Fortuna,90,US,1584471171,70,40.6,-124.16,46.99,6.93
Kenai,90,US,1584471171,63,60.55,-151.26,28.99,10.29
Ahome,90,MX,1584471171,53,25.92,-109.18,71.6,10.13
Henties Bay,2,NA,1584471171,92,-22.12,14.28,63.0,4.0
Udachny,0,RU,1584471172,75,66.42,112.4,-18.4,4.47
Port Lincoln,84,AU,1584471172,42,-34.73,135.87,72.77,2.46
La Ronge,40,CA,1584471172,49,55.1,-105.28,1.4,8.05
Scarborough,100,GB,1584470931,76,54.28,-0.4,57.2,20.8
Oranjemund,0,NA,1584471134,85,-28.55,16.43,64.67,11.03
Payo,95,ID,1584471173,98,-3.75,103.64,68.99,1.68
Port Hardy,75,CA,1584471173,70,50.7,-127.42,44.6,6.93
Nikolskoye,40,RU,1584471173,80,59.7,30.79,37.0,8.95
Kungurtug,0,RU,1584471173,80,50.6,97.52,7.79,2.68
Maningrida,41,AU,1584471174,75,-12.07,134.27,80.15,9.48
Adré,56,TD,1584471174,19,13.47,22.2,74.39,1.97
Sioux Lookout,40,CA,1584471174,44,50.1,-91.92,21.2,9.17
Visnes,100,NO,1584471174,87,59.36,5.22,44.6,17.22
Ajdabiya,0,LY,1584471175,61,30.76,20.23,64.13,9.86
Wanaka,0,NZ,1584471004,78,-44.7,169.15,37.99,1.99
Coolum Beach,37,AU,1584471175,78,-26.53,153.1,64.99,1.01
Shkodër,0,AL,1584471176,66,42.07,19.51,53.6,3.36
Maun,51,BW,1584471115,57,-19.98,23.42,77.0,4.7
Calolbon,3,PH,1584471176,78,13.6,124.1,77.45,5.12
Portland,1,US,1584470407,42,45.52,-122.68,54.0,5.82
Felanitx,40,ES,1584471177,77,39.47,3.15,60.8,12.75
Qui Nhon,62,VN,1584470966,93,13.77,109.23,68.99,2.42
Orlândia,40,BR,1584471177,38,-20.72,-47.89,91.4,5.82
Renqiu,0,CN,1584471178,20,38.7,116.09,58.91,12.62
Malinovoye Ozero,100,RU,1584471178,96,51.68,79.78,35.69,11.83
Bollnäs,10,SE,1584471178,77,61.35,16.39,42.01,1.99
Cabo San Lucas,75,MX,1584471178,53,22.89,-109.91,81.0,5.82
Kalemie,99,CD,1584471178,98,-5.95,29.19,65.21,3.06
Krasnaya Gorbatka,50,RU,1584471179,90,55.87,41.76,31.55,3.2
Esperance,90,AU,1584471179,93,-33.87,121.9,60.8,14.99
Egvekinot,100,RU,1584471179,96,66.32,-179.17,20.75,5.01
Bambous Virieux,40,MU,1584471179,88,-20.34,57.76,77.0,3.36
Sibu,75,MY,1584471179,94,2.3,111.82,77.0,1.92
Sheridan,1,US,1584471180,56,44.83,-106.92,46.99,2.3
Ruska Poliana,90,UA,1584471180,79,49.42,31.92,39.11,2.75
Biryusinsk,0,RU,1584471180,92,55.96,97.82,10.85,3.0
Mielec,97,PL,1584471180,61,50.29,21.42,52.0,4.7
Vardø,75,NO,1584471141,79,70.37,31.11,23.0,4.7
Sørland,40,NO,1584471181,72,67.67,12.69,37.4,24.16
Paamiut,0,GL,1584471181,57,61.99,-49.67,14.63,6.67
Muhafazat Lahij,79,YE,1584471181,77,13.17,44.58,76.19,15.37
Aldan,86,RU,1584471181,98,58.6,125.39,10.67,1.48
College,75,US,1584471182,85,64.86,-147.8,28.4,6.93
Padang,98,ID,1584471182,94,-0.95,100.35,68.63,4.72
Kulebaki,25,RU,1584471182,86,55.41,42.53,31.55,5.35
Orange,90,US,1584471182,46,33.7,-117.77,60.8,3.36
Vangaindrano,72,MG,1584471183,96,-23.35,47.6,72.95,5.53
Havøysund,100,NO,1584471183,79,71.0,24.66,28.4,12.75
Rundu,87,NA,1584471183,65,-17.93,19.77,78.8,6.93
Nacala,73,MZ,1584471183,91,-14.54,40.67,73.85,3.04
La Sarre,100,CA,1584471183,76,48.8,-79.2,28.49,12.37
Talnakh,40,RU,1584471184,84,69.49,88.4,6.8,26.84
Tieling,19,CN,1584471184,50,42.29,123.84,37.13,9.93
Umluj,0,SA,1584471184,50,25.02,37.27,72.41,6.2
Chu,87,KZ,1584471184,85,43.6,73.76,53.51,8.08
Salalah,75,OM,1584471180,69,17.02,54.09,78.8,5.82
Broome,90,US,1584471185,100,42.25,-75.83,48.0,5.82
Santa Maria,0,BR,1584471012,36,-29.68,-53.81,91.31,8.77
Khandagayty,62,RU,1584471185,93,50.73,92.05,14.45,1.99
Cidreira,57,BR,1584471185,77,-30.18,-50.21,73.31,16.35
Haines Junction,0,CA,1584471186,77,60.75,-137.51,16.43,1.92
Bay Roberts,20,CA,1584471142,50,47.6,-53.26,32.0,18.34
Belle Fourche,1,US,1584471186,69,44.67,-103.85,45.0,3.74
Kulhudhuffushi,0,MV,1584471187,78,6.62,73.07,84.29,18.52
Marquette,75,US,1584471128,50,46.53,-87.63,33.01,16.11
Binzhou,0,CN,1584471187,31,37.37,118.02,61.0,1.01
Kahului,1,US,1584471007,83,20.89,-156.47,77.0,8.9
Saint-Louis,40,SN,1584471187,16,16.33,-15.0,98.6,7.61
Rawson,0,AR,1584471188,72,-43.3,-65.1,60.89,15.9
Bitung,20,ID,1584471188,94,1.45,125.18,75.2,1.12
Acapulco de Juárez,5,MX,1584471016,70,16.86,-99.89,86.0,8.05
Gornopravdinsk,100,RU,1584471188,95,60.05,69.9,26.69,9.93
Kloulklubed,75,PW,1584470893,78,7.04,134.26,77.0,4.7
Maceió,40,BR,1584470988,66,-9.67,-35.74,87.8,6.93
Dongsheng,22,CN,1584471189,19,39.82,109.98,43.07,20.85
Archidona,75,ES,1584471189,82,37.1,-4.39,59.0,8.05
Hobyo,1,SO,1584471190,74,5.35,48.53,79.43,15.32
Najrān,20,SA,1584471190,28,17.49,44.13,80.6,4.7
Dom Pedro,76,BR,1584471190,63,-4.48,-44.45,86.81,4.16
Aykhal,76,RU,1584471190,75,66.0,111.5,-18.4,4.47
Huarmey,71,PE,1584471190,48,-10.07,-78.15,84.47,11.21
Houndé,85,BF,1584471191,32,11.5,-3.52,93.29,4.38
Isangel,75,VU,1584471191,94,-19.55,169.27,75.2,13.78
Imbituba,75,BR,1584471023,69,-28.24,-48.67,77.0,11.41
Neryungri,77,RU,1584471191,95,56.67,124.65,10.13,1.9
Tumba,75,SE,1584471191,75,59.2,17.83,46.4,10.29
Alofi,75,NU,1584471192,83,-19.06,-169.92,82.4,9.17
Buraidah,75,SA,1584471192,47,26.33,43.98,78.8,10.29
Teahupoo,75,PF,1584471192,70,-17.83,-149.27,86.0,10.29
Oskarshamn,20,SE,1584470924,70,57.26,16.45,48.2,11.41
Murray Bridge,24,AU,1584471192,33,-35.12,139.27,78.01,4.0
Byron Bay,75,AU,1584471193,82,-28.65,153.62,66.2,8.05
Vinh,84,VN,1584471193,96,18.67,105.67,72.05,2.39
Mareeba,40,AU,1584471193,78,-17.0,145.43,77.0,9.17
Olafsvik,100,IS,1584471193,76,64.89,-23.71,28.85,42.26
Kampong Thom,87,KH,1584471194,50,12.71,104.89,82.49,17.94
Ilhabela,25,BR,1584471194,82,-23.78,-45.36,79.61,7.07
Hofn,20,IS,1584471194,64,64.25,-15.21,35.6,11.41
Sergeevka,26,KZ,1584471194,87,53.88,67.42,25.43,15.99
Itarema,67,BR,1584471194,70,-2.92,-39.92,85.19,8.63
Sojītra,0,IN,1584471195,46,22.55,72.72,73.4,2.24
Acaraú,67,BR,1584471195,70,-2.89,-40.12,85.19,8.63
Alyangula,10,AU,1584471196,94,-13.85,136.42,75.2,4.61
Inverness,75,GB,1584471196,86,57.48,-4.22,45.0,8.05
Saint Paul Harbor,90,US,1584471196,86,57.79,-152.41,39.2,6.93
